# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	1	8580	+							EL309_RS10705	8580		old_locus_tag=NCTC12742_00001
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	1	8580	+	WP_197721073.1	WP_197721073.1		hemagglutinin repeat-containing protein			EL309_RS10705	8580	2859	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	8614	9141	+							EL309_RS00045	528		old_locus_tag=NCTC12742_00002
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	8614	9141	+	WP_107726135.1	WP_107726135.1		immunity 42 family protein			EL309_RS00045	528	175	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	9710	10204	+							EL309_RS00055	495		old_locus_tag=NCTC12742_00003
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	9710	10204	+	WP_004283048.1	WP_004283048.1		immunity 42 family protein			EL309_RS00055	495	164	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	10405	11979	+							EL309_RS00065	1575		old_locus_tag=NCTC12742_00004
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	10405	11979	+	WP_197721074.1	WP_197721074.1		VENN motif pre-toxin domain-containing protein			EL309_RS00065	1575	524	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	11976	12434	+							EL309_RS00070	459		old_locus_tag=NCTC12742_00005
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	11976	12434	+	WP_004283033.1	WP_004283033.1		hypothetical protein			EL309_RS00070	459	152	
gene	pseudogene	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	12570	12695	+							EL309_RS10735	126		partial;pseudo
CDS	without_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	12570	12695	+				DUF3292 domain-containing protein			EL309_RS10735	126		partial;pseudo
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	12702	12911	+							EL309_RS00080	210		
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	12702	12911	+	WP_040669639.1	WP_040669639.1		hypothetical protein			EL309_RS00080	210	69	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	12908	13309	+							EL309_RS10740	402		old_locus_tag=NCTC12742_00006
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	12908	13309	+	WP_232014420.1	WP_232014420.1		interleukin			EL309_RS10740	402	133	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	13571	14863	+							EL309_RS00090	1293		old_locus_tag=NCTC12742_00007
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	13571	14863	+	WP_232014421.1	WP_232014421.1		VENN motif pre-toxin domain-containing protein			EL309_RS00090	1293	430	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	14863	15315	+							EL309_RS00095	453		old_locus_tag=NCTC12742_00008
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	14863	15315	+	WP_004283042.1	WP_004283042.1		hypothetical protein			EL309_RS00095	453	150	
