# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	2552472	1497	+					dnaA		CKV66_RS00005	1548		old_locus_tag=SAMEA4504057_00001
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	2552472	1497	+	WP_085363467.1	WP_085363467.1		chromosomal replication initiator protein DnaA	dnaA		CKV66_RS00005	1548	515	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	1517	2620	+					dnaN		CKV66_RS00010	1104		old_locus_tag=SAMEA4504057_00002
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	1517	2620	+	WP_085363466.1	WP_085363466.1		DNA polymerase III subunit beta	dnaN		CKV66_RS00010	1104	367	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	2683	5085	+							CKV66_RS00015	2403		old_locus_tag=SAMEA4504057_00003
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	2683	5085	+	WP_169835319.1	WP_169835319.1		tetratricopeptide repeat protein			CKV66_RS00015	2403	800	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	5134	7302	-							CKV66_RS00020	2169		old_locus_tag=SAMEA4504057_00004
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	5134	7302	-	WP_085363464.1	WP_085363464.1		primosomal protein N'			CKV66_RS00020	2169	722	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	7373	8416	-					aroG		CKV66_RS00025	1044		old_locus_tag=SAMEA4504057_00005
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	7373	8416	-	WP_085363463.1	WP_085363463.1		3-deoxy-7-phosphoheptulonate synthase AroG	aroG		CKV66_RS00025	1044	347	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	8483	8629	-							CKV66_RS12070	147		
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	8483	8629	-	WP_157739130.1	WP_157739130.1		hypothetical protein			CKV66_RS12070	147	48	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	8847	10484	+					pgi		CKV66_RS00030	1638		old_locus_tag=SAMEA4504057_00006
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	8847	10484	+	WP_085363462.1	WP_085363462.1		glucose-6-phosphate isomerase	pgi		CKV66_RS00030	1638	545	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	10747	12189	+							CKV66_RS00035	1443		old_locus_tag=SAMEA4504057_00007
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	10747	12189	+	WP_085363461.1	WP_085363461.1		hypothetical protein			CKV66_RS00035	1443	480	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	12269	13060	-							CKV66_RS00040	792		old_locus_tag=SAMEA4504057_00008
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	12269	13060	-	WP_085363460.1	WP_085363460.1		methyltransferase domain-containing protein			CKV66_RS00040	792	263	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	13082	13543	-							CKV66_RS00045	462		old_locus_tag=SAMEA4504057_00009
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	13082	13543	-	WP_085363459.1	WP_085363459.1		cytochrome c			CKV66_RS00045	462	153	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	13670	14497	+							CKV66_RS00050	828		old_locus_tag=SAMEA4504057_00010
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	13670	14497	+	WP_085363458.1	WP_085363458.1		SDR family oxidoreductase			CKV66_RS00050	828	275	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	14648	15544	+							CKV66_RS00055	897		old_locus_tag=SAMEA4504057_00011
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	14648	15544	+	WP_085363457.1	WP_085363457.1		patatin-like phospholipase family protein			CKV66_RS00055	897	298	
gene	pseudogene	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	15792	15950	-							CKV66_RS12380	159		partial;pseudo
CDS	without_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	15792	15950	-				signal peptidase			CKV66_RS12380	159		partial;pseudo
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	16059	16535	-					pncC		CKV66_RS00065	477		old_locus_tag=SAMEA4504057_00012
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	16059	16535	-	WP_085363456.1	WP_085363456.1		nicotinamide-nucleotide amidase	pncC		CKV66_RS00065	477	158	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	17054	17662	+							CKV66_RS00070	609		old_locus_tag=SAMEA4504057_00013
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	17054	17662	+	WP_231990493.1	WP_231990493.1		YdcF family protein			CKV66_RS00070	609	202	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	17773	19245	-							CKV66_RS00075	1473		old_locus_tag=SAMEA4504057_00014
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	17773	19245	-	WP_085363455.1	WP_085363455.1		YdiU family protein			CKV66_RS00075	1473	490	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	19522	19902	+							CKV66_RS00080	381		old_locus_tag=SAMEA4504057_00015
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	19522	19902	+	WP_231990494.1	WP_231990494.1		hypothetical protein			CKV66_RS00080	381	126	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	19924	21243	+					miaB		CKV66_RS00085	1320		old_locus_tag=SAMEA4504057_00016
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	19924	21243	+	WP_085363453.1	WP_085363453.1		tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	miaB		CKV66_RS00085	1320	439	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	21489	21983	-							CKV66_RS00090	495		old_locus_tag=SAMEA4504057_00017
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	21489	21983	-	WP_085363452.1	WP_085363452.1		heme-binding protein			CKV66_RS00090	495	164	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	22157	24316	-					yccS		CKV66_RS00095	2160		old_locus_tag=SAMEA4504057_00018
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	22157	24316	-	WP_085363451.1	WP_085363451.1		YccS family putative transporter	yccS		CKV66_RS00095	2160	719	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	24579	24977	-							CKV66_RS00100	399		old_locus_tag=SAMEA4504057_00019
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	24579	24977	-	WP_085363450.1	WP_085363450.1		hypothetical protein			CKV66_RS00100	399	132	
gene	tRNA	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	25165	25240	+							CKV66_RS00105	76		old_locus_tag=SAMEA4504057_00020
tRNA		GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	25165	25240	+				tRNA-Lys			CKV66_RS00105	76		anticodon=TTT
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	25821	29999	-					rpoC		CKV66_RS00110	4179		old_locus_tag=SAMEA4504057_00021
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	25821	29999	-	WP_085363449.1	WP_085363449.1		DNA-directed RNA polymerase subunit beta'	rpoC		CKV66_RS00110	4179	1392	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	30119	34297	-					rpoB		CKV66_RS00115	4179		old_locus_tag=SAMEA4504057_00022
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	30119	34297	-	WP_085363448.1	WP_085363448.1		DNA-directed RNA polymerase subunit beta	rpoB		CKV66_RS00115	4179	1392	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	34534	34905	-					rplL		CKV66_RS00120	372		old_locus_tag=SAMEA4504057_00023
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	34534	34905	-	WP_054599430.1	WP_054599430.1		50S ribosomal protein L7/L12	rplL		CKV66_RS00120	372	123	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	34956	35456	-					rplJ		CKV66_RS00125	501		old_locus_tag=SAMEA4504057_00024
