# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	1	1557	+					dnaA	66752266	HT085_RS00005	1557		old_locus_tag=TUM19854C_00010
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	1	1557	+	WP_003687194.1	WP_003687194.1		chromosomal replication initiator protein DnaA	dnaA	66752266	HT085_RS00005	1557	518	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	1637	2740	+					dnaN	66752267	HT085_RS00010	1104		old_locus_tag=TUM19854C_00020
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	1637	2740	+	WP_003687195.1	WP_003687195.1		DNA polymerase III subunit beta	dnaN	66752267	HT085_RS00010	1104	367	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	2889	4946	-					ppk1	66752268	HT085_RS00015	2058		old_locus_tag=TUM19854C_00030
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	2889	4946	-	WP_020997294.1	WP_020997294.1		polyphosphate kinase 1	ppk1	66752268	HT085_RS00015	2058	685	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	5115	5558	-						66752269	HT085_RS00020	444		old_locus_tag=TUM19854C_00040
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	5115	5558	-	WP_003687201.1	WP_003687201.1		hypothetical protein		66752269	HT085_RS00020	444	147	
gene	pseudogene	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	5565	6081	-						66752270	HT085_RS00025	517		pseudo
CDS	without_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	5565	6081	-				outer membrane protein assembly factor BamE		66752270	HT085_RS00025	517		pseudo
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	6348	8978	+					leuS	66752271	HT085_RS00030	2631		old_locus_tag=TUM19854C_00060
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	6348	8978	+	WP_012503319.1	WP_012503319.1		leucine--tRNA ligase	leuS	66752271	HT085_RS00030	2631	876	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	9207	9998	+						66752272	HT085_RS00035	792		old_locus_tag=TUM19854C_00070
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	9207	9998	+	WP_003687206.1	WP_003687206.1		type II restriction endonuclease		66752272	HT085_RS00035	792	263	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	10277	10912	+						66752273	HT085_RS00040	636		old_locus_tag=TUM19854C_00080
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	10277	10912	+	WP_017146687.1	WP_017146687.1		site-specific DNA-methyltransferase		66752273	HT085_RS00040	636	211	
gene	pseudogene	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	10932	11487	+						66752274	HT085_RS00045	556		pseudo;old_locus_tag=TUM19854C_00090
CDS	without_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	10932	11487	+				hypothetical protein		66752274	HT085_RS00045	556		pseudo
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	11995	12255	-						71771571	HT085_RS11595	261		
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	11995	12255	-	WP_003687214.1	WP_003687214.1		hypothetical protein		71771571	HT085_RS11595	261	86	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	12261	12572	-						66752276	HT085_RS00060	312		old_locus_tag=TUM19854C_00100
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	12261	12572	-	WP_003690485.1	WP_003690485.1		DNA-binding transcriptional regulator		66752276	HT085_RS00060	312	103	
gene	pseudogene	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	12569	12936	-						66752277	HT085_RS00065	368		pseudo
CDS	without_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	12569	12936	-				type II toxin-antitoxin system RelE/ParE family toxin		66752277	HT085_RS00065	368		pseudo
gene	pseudogene	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	13322	13443	-						66752278	HT085_RS00070	122		partial;pseudo
CDS	without_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	13322	13443	-				IS5/IS1182 family transposase		66752278	HT085_RS00070	122		partial;pseudo
gene	tRNA	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	13826	13911	-						66752279	HT085_RS00075	86		old_locus_tag=TUM19854C_t00010
tRNA		GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	13826	13911	-				tRNA-Leu		66752279	HT085_RS00075	86		anticodon=GAG
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	13925	14275	-					secG	66752280	HT085_RS00080	351		old_locus_tag=TUM19854C_00120
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	13925	14275	-	WP_003687220.1	WP_003687220.1		preprotein translocase subunit SecG	secG	66752280	HT085_RS00080	351	116	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	14282	15055	-					tpiA	66752281	HT085_RS00085	774		old_locus_tag=TUM19854C_00130
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	14282	15055	-	WP_003687222.1	WP_003687222.1		triose-phosphate isomerase	tpiA	66752281	HT085_RS00085	774	257	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	15238	15741	+						66752282	HT085_RS00090	504		old_locus_tag=TUM19854C_00140
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	15238	15741	+	WP_025455757.1	WP_025455757.1		GAF domain-containing protein		66752282	HT085_RS00090	504	167	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	15844	16500	+						66752283	HT085_RS00095	657		old_locus_tag=TUM19854C_00150
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	15844	16500	+	WP_003687226.1	WP_003687226.1		protein-L-isoaspartate O-methyltransferase		66752283	HT085_RS00095	657	218	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	16581	16904	+						66752284	HT085_RS00100	324		old_locus_tag=TUM19854C_00160
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	16581	16904	+	WP_003687228.1	WP_003687228.1		rhodanese-like domain-containing protein		66752284	HT085_RS00100	324	107	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	17167	19344	-						66752285	HT085_RS00105	2178		old_locus_tag=TUM19854C_00170
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	17167	19344	-	WP_003690492.1	WP_003690492.1		TonB-dependent siderophore receptor		66752285	HT085_RS00105	2178	725	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	19607	19930	-						66752286	HT085_RS00110	324		old_locus_tag=TUM19854C_00180
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	19607	19930	-	WP_003687232.1	WP_003687232.1		cupin domain-containing protein		66752286	HT085_RS00110	324	107	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	19963	20934	-						66752287	HT085_RS00115	972		old_locus_tag=TUM19854C_00190
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	19963	20934	-	WP_010356564.1	WP_010356564.1		siderophore ABC transporter substrate-binding protein		66752287	HT085_RS00115	972	323	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	21170	22126	+						66752288	HT085_RS00120	957		old_locus_tag=TUM19854C_00200
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	21170	22126	+	WP_003690497.1	WP_003690497.1		AraC family transcriptional regulator		66752288	HT085_RS00120	957	318	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	22239	24254	-						66752289	HT085_RS00125	2016		old_locus_tag=TUM19854C_00210
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	22239	24254	-	WP_003690499.1	WP_003690499.1		prolyl oligopeptidase family protein		66752289	HT085_RS00125	2016	671	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	24350	25660	-					argA	66752290	HT085_RS00130	1311		old_locus_tag=TUM19854C_00220
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	24350	25660	-	WP_003687241.1	WP_003687241.1		amino-acid N-acetyltransferase	argA	66752290	HT085_RS00130	1311	436	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	25657	26085	-						66752291	HT085_RS00135	429		old_locus_tag=TUM19854C_00230
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	25657	26085	-	WP_003690500.1	WP_003690500.1		hypothetical protein		66752291	HT085_RS00135	429	142	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	26153	26794	-					pyrE	66752292	HT085_RS00140	642		old_locus_tag=TUM19854C_00240
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	26153	26794	-	WP_003690501.1	WP_003690501.1		orotate phosphoribosyltransferase	pyrE	66752292	HT085_RS00140	642	213	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	26856	27593	-						66752293	HT085_RS00145	738		old_locus_tag=TUM19854C_00250
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	26856	27593	-	WP_003687248.1	WP_003687248.1		uracil-DNA glycosylase family protein		66752293	HT085_RS00145	738	245	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	27587	28027	-					rimI	66752294	HT085_RS00150	441		old_locus_tag=TUM19854C_00260
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	27587	28027	-	WP_003690502.1	WP_003690502.1		ribosomal protein S18-alanine N-acetyltransferase	rimI	66752294	HT085_RS00150	441	146	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	28024	28701	-					tsaB	66752295	HT085_RS00155	678		old_locus_tag=TUM19854C_00270
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	28024	28701	-	WP_003687250.1	WP_003687250.1		tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	tsaB	66752295	HT085_RS00155	678	225	
